Treść,Kategoria
"Wynalazł armatni aparat celowniczy oraz granato-szrapnel, będący nowym rodzajem pocisku, który najpierw eksplodował w powietrzu, zasypując wroga kulkami, a następnie jego głowica wybuchała po zetknięciu z celem.",1
"Udało mu się w jeden dzień, przy użyciu wojsk inżynieryjnych, przeprowadzić artylerię górską drogą, w co, przed dokonaniem tego, wszyscy wątpili.",1
"Kolejny awans, tym razem na pułkownika, otrzymał 1 maja 1908 r.",2
"Wtedy też, jako jedyny wysoki dowódca armii austriackiej, nawiązał kontakty z ruchem strzeleckim, którego działania popierał.",1
Dowództwo dywizji w osobie gen. Paula Kastranka jak i armii ignorowało koncentrację wojsk rosyjskich pod Borowem.,1
"Zagrożenie dostrzegł Rozwadowski, który nijako wbrew stanowisku dowódców zdecydował się na śmiały atak wyprzedzający.",1
"Jednak gen. Kastrank to siebie przedstawiał jako autora tej operacji, marginalizując rolę Rozwadowskiego.",1
Rozwadowski postanowił zastosować nową taktykę.,1
Podczas walk na wschodzie Rozwadowski jako jeden z nielicznych wstawiał się za ludnością cywilną.,1
"W okresie, gdy Polska odzyskiwała niepodległość, czyli na jesień 1918 r., Rada Regencyjna powierzyła mu funkcję Szefa Sztabu Wojsk Polskich Królestwa Polskiego.",4
W ten sposób generał rozpoczął proces organizowania polskiego wojska.,1
"Dlatego jeszcze przed ustąpieniem, poprosił Piłsudskiego o skierowanie go do Lwowa.",1
"W mieście Rozwadowski zaprowadził porządek, nie pozwalając ani prześladować tamtejszych Żydów, ani ludności i duchownych prawosławnych.",1
"Jednak na przełomie 1918/1919 Naczelna Komenda Ukraińska zorganizowała szturm na miasto, dysponując kilkukrotnie liczniejszą armią.",4
"Wtedy ukraińska armia zaczęła ostrzeliwać miasto z artylerii, a TKR chciał nawet negocjować poddanie.",4
Generał jednak nie ustępował i nie godził się na kapitulację.,1
Tam od razu przystąpił do intensywnych działań mających zapewnić Polsce terytorium Galicji Wschodniej.,1
Aktywnie wspierał Romana Dmowskiego w zabiegach o najkorzystniejsze dla Polski postanowienia traktatu wersalskiego.,1
"Wyprawa kijowska zakończyła się terytorialnym sukcesem, tj. polska armia zajęła Kijów i zaczęła starania zmierzające do utworzenia Ukraińskiej Republiki Ludowej.",4
" Bolszewicy zaczęli przegrupowywać swoje siły, a następnie zarządziły ich koncentrację.",4
Państwa zachodnie zobowiązały się ledwie do wysłania misji wojskowej oraz dostaw amunicji.,4
"Przeciwko takim postanowieniom najmocniej protestował Rozwadowski, który brał udział w obradach.",1
W dniu 22 lipca Rozwadowski ponownie stanął na czele Sztabu Generalnego.,1
"Nie uciekł od odpowiedzialność za prowadzenie wojny, odmawiając podporządkowania swoich decyzji gen. Weygandowi.",1
"Rozkazy sporządzone przez generała, po okresie bezładu polskiego wojska, wreszcie odpowiednio przegrupowywały i kierowały polskie siły do zorganizowania kontrnatarcia.",3
"Przewidywał atak w rejonie Bugu i Narwi, poprzedzony pokonaniem Konarmii Siemiona Budionnego w okolicach Brodów.",2
"Jednakże dzięki działalności wywiadu, Polakom udało się uzyskać informację, iż treść rozkazu znalazła się w rękach wroga.",4
"W obawie przed przechwyceniem tych planów generał zarządził, że zostanie on tylko w tej jednej kopii rozesłany po kolei do odpowiednich dowódców.",1
Ponadto bał się wzięcia na siebie odpowiedzialności w przypadku niepowodzenia.,2
Polacy zaczęli spychać bolszewików na wschód.,4
"W kolejnych miesiącach Rozwadowski koordynował walkę na kilku frontach, goniąc bolszewików.",1
Ostatecznie sowieckie armie zaczęły uciekać w bezładzie na wschód.,4
 Awansowano go także na stopień generała broni.,2
"Doskonale wywiązywał się ze swoich obowiązków, podnosząc wartość bojową polskiej jazdy.",1
W 1921 r. otrzymał Krzyż Srebrny Orderu Wojskowego Virtuti Militari.,2
"Piłsudski zdawał sobie sprawę, że pozycja Rozwadowskiego w wojsku, jak i szacunek jakim obdarzało go społeczeństwo, było zagrożeniem dla jego politycznych planów.",2
"Dlatego postanowił zaatakować Rozwadowskiego, dyskredytując go w swojej książce Rok 1920 (data pierwszego wydania 1924).",1
Na niespełna miesiąc przed zamachem majowym Rozwadowski dostrzegł problemy w polskim wojsku.,2
Dodatkowo w trakcie walk o Warszawę część oddziałów po prostu przeszła na stronę zamachowców.,4
"Piłsudski natychmiast zarządził aresztowanie Rozwadowskiego, a także m.in. generałów Malczewskiego, Zagórskiego i Jaźwińskiego.",1
Jednak Piłsudski danego słowa nie dotrzymał i nie zwolnił z aresztu Rozwadowskiego.,1
"Trąba niszczyła budynki, wywracała wagony kolejowe, burzyła kominy, a także zabiła sześć osób.",3
"Żywioł niszczył nie tylko zabudowania miejskie, ale także wyrządzał szkody na okolicznych polach.",3
"Tam trąba zerwała wszystkie dachy, wyrywała drzewa z korzeniami i łamała słupy telegraficzne.",3
"Trąba porwała także dwa drewniane wagony kolejowe, unosząc je w powietrze.",3
 Wiatr zerwał most wiodący w stronę Zamościa.,3
Ukończył seminarium nauczycielskie w swoim rodzinnym mieście i zgodnie z przekazem ustnym z uwagi na niesprawiedliwe oceny podarł świadectwo maturalne na oczach swojego profesora.,1
"2 października 1910 ożenił się ze swoją wielką miłością-pianistką Margaretą Haase, a 7 lat później już jako szanowany mąż i naukowiec przeniósł się z rodziną do Frankfurtu nad Menem, gdzie czekało na niego przygotowane przez koncern Metallbank und Metallurgische Gesellschaft wielkie laboratorium badawcze.",1
Na osobiste zaproszenie ówczesnego prezydenta Ignacego Mościckiego objął stanowisko profesora na Wydziale Chemicznym Politechniki Warszawskiej.,1
"Profesor osobiście opracowywał przyrządy pomiarowe, rozwijał potrzebne teorie i metody badań.",1
W 1916 roku Czochralski opracował metodę pomiary szybkości krystalizacji metali.,1
"W zaistniałej sytuacji powrócił od do rodzinnej Kcyni, gdzie założył Zakłady Chemiczne „BION”. W swoim zakładzie produkował między innymi płyn do trwałej ondulacji i parafarmaceutyki.",1
"W 1922 r., będąc w warszawskim mieszkaniu pod opieką dwóch znajomych i lekarza, Ossowiecki „przeniósł się„ na zjazd naukowy do Wiednia.",1
Leżałem na kanapie sztywny i zimny do godziny 19.,2
Ossowiecki wskazał też miejsce katastrofy polskiego samolotu w górach w Bułgarii z 23 listopada 1937 r.,1
"Nikomu nie odmawiał, od rana odtwarzał losy zaginionych na podstawie zdjęć lub fragmentów ubrań, doprowadzając się do stanu skrajnego wyczerpania.",1
Cesarstwo Rzymskie prowadziło szczególnie intensywne wojny na wschodzie.,4
Wycofujące się na zachód oddziały rzymskie roznosiły chorobę po kolejnych terytoriach.,4
"Galen w swoich dziełach opisywał przede wszystkim wysypkę, która obejmowała całe ciało chorego i zwykle była czarna.",2
 Dalej grecki lekarz opisywał objawy ze strony przewodu pokarmowego w postaci biegunki. ,2
"Galen zauważył, że czarny stolec oznaczał z reguły rychłą śmierć chorego.",2
"Już w 430 r. w mieście wybuchła groźna zaraza, która zdziesiątkowała jej mieszkańców i miała wpływ na dalsze losy wojny.",3
"W Atenach archeolodzy odkryli masowe groby, w których znajdowały się setki szczątków ludzkich, ułożonych w sposób losowy, pod wieloma warstwami ziemi. ",4
"Armia Sparty dowiedziawszy się o epidemii i widząc palące się stosy ciał, odstąpiła od ataku na miasto, słusznie wiedząc, że prędzej zostaną pokonani przez epidemię, niż obrońców miasta.",4
"Według Tukidydesa dopiero w 415 roku p.n.e. Ateny wyzdrowiały na tyle, by móc prowadzić ofensywne działania wojenne.",4
"Mieszkańcy przestali przestrzegać prawa, spodziewając się niechybnej śmierci.",4
Zaraza doprowadziła także do załamania się społeczeństwa ateńskiego.,3
"Co więcej, filozof ten problem śmierci czyni naczelnym zagadnieniem swojej filozofii.",2
"Dusza, która pierwotnie przynależała do świata idei, pragnie się z nim ponownie połączyć. ",3
Platon konstruuje swój system nauk o ideach w sposób hierarchiczny.,2
" Co więcej, Sokrates ze swojej śmierci uczynił wielkie misterium umierania, ostateczną lekcję filozofii, według której żył",1
"Arystoteles bowiem, w przeciwieństwie do Platona, nie rozpatruje śmierci tylko w świetle rozważań spekulatywnych, lecz poświęca temu zagadnieniu również wiele uwagi z perspektywy nauk empirycznych, a nawet etycznych.",2
"Arystoteles wyraźnie krytykował teorię idei, podważając eo ipso całą metafizykę platońską w jej fundamentach.",1
" Arystoteles zatem afirmował istnienie rzeczywistości transcendentnej, jednak przedstawiał ją inaczej niż Platon.",1
"Przede wszystkim Arystoteles odrzucił (przynajmniej częściowo) platoński dualizm duszy i ciała, według którego oba te elementy są sobie przeciwstawne, nie łączą się, co więcej, jedno pragnie uwolnić się z więzów drugiego.",1
Po śmierci natomiast dusza rozumna łączy się w owej Myśli najwyższej i również trwa wiecznie w owym akcie.,3
"Arystoteles nie przypisuje jednak śmierci tak ważnej roli, jak Platon.",1
"Ponadto Arystoteles odrzuca orficko-pitagorejską koncepcję wędrówki dusz i reinkarnacji, która znajdowała jeszcze wyraz w metafizyce Platona.",1
Aby go ograniczyć cesarz Dioklecjan wydał w 301 r. edykt o cenach maksymalnych na towary i usługi.,1
"Otóż Konstantyn wyrażał zainteresowanie chrześcijaństwem, ale też nie miał zamiaru wprost zrywać z tradycją pogańską.",1
"W mniej więcej tym samym czasie ten cesarz przyznał wiele przywilejów chrześcijanom, wyraźnie ich faworyzując.",1
Krótko po 312 r. Konstantyn przeprowadził reformę pieniężną masowo emitując złote solidy.,1
"Konstantyn rządził większym terytorium, więc  miał i większe potrzeby.",1
"Członkowie elit, wierzący w pogańskie bóstwa, zamiast na proste rytuały postawili na rozwój intelektualny swoich wierzeń, czerpiąc pełnymi garściami z bogatego dorobku filozofii greckiej.",4
"Nowy władca Rzymu surowo zamierzał się rozprawić ze swoimi oponentami, mając w pamięci, że przed laty, gdy popularzy zajmowali stolicę, usłali ulice miasta ciałami tysięcy członków przeciwnego stronnictwa.",1
"Wbrew temu, co podpowiadał rozsądek, Cezar odmówił.",1
"Nie wyjechał jednak daleko, bowiem ukrył się w pobliskich Górach Sabińskich.",1
"Tam niestety nie wszystko układało się po jego myśli, gdyż ciężko zachorował na febrę.",2
"Cezar będąc na Wschodzie, zdążył jeszcze odeprzeć atak wojowniczego Mitrydatesa VI Eupatora na Bitynię, którą zapewne dobrze wspominał z wcześniejszych wizyt.",1
"Po powrocie do rodzinnego miasta rozpoczął służbę wojskową pod rozkazami najbogatszego Rzymianina – Marka Krassusa, który prowadził kampanię przeciwko zbuntowanym niewolnikom pod wodzą Spartakusa.",1
" Rzymianin najpierw obejmuje funkcję trybuna wojskowego, a później kwestora w Hiszpanii Dalszej.",1
Podczas pobytu w Rzymie Cezar wydawał duże sumy na organizację przyjęć i wystawne życie.,1
Cezar bowiem po powrocie z Hiszpanii udał się na północ od Apeninów do rzymskiej prowincji Galii Przedalpejskiej.,1
"Aby zatem przyspieszyć swoją karierę innym sposobem, ambitny Rzymianin poślubił Pompeję, wnuczkę samego Sulli i krewną Pompejusza.",1
Po uzyskaniu tej godności Cezar rozpoczął organizację igrzysk na skalę dotychczas niewidzianą w Rzymie.,1
"Cezar tak się jednak zadłużył, że w dniu głosowania poinformował swoją matkę, iż jeżeli przegra to od razu udaje się na wygnanie.",1
"Mówca ten korzystając z informacji uzyskanych od celtyckich Allobrogów, zdemaskował sprzysiężenie i ostatecznie je rozbił, a wielu spiskowców zostało skazanych na śmierć.",1
"Oburzone damy w pośpiechu opuściły dom Cezara, a wieści o aferze rozeszły się po całym mieście. ",1
"Pompejusz, który wrócił ze Wschodu, rozwiódł się ze swoją żoną Mucją, podejrzewając ją o romans z Cezarem.",1
"Cezar natomiast, mając w pamięci ostatnie wydarzenia w jego domu, rozwiódł się z Pompeją.",1
"Cezar, widząc jednak okazję na realizację swoich planów, usilnie szukał powodu do wszczęcia wojny.",1
"Cezar, uznając to za pretekst do wojny, zajął ich osady i rozpoczął regularne działania wojenne przeciwko niepokornym Luzytanom.",1
"Na wieść o tych sukcesach w Rzymie ogłoszono modły dziękczynne, a żołnierze obwołali Cezara imperatorem.",4
"Zaledwie doniosła jej Matriona, że ojciec nie wrócił jeszcze do domu, udała się natychmiast do carowej i obie przyjaciółki naradzały się, jak wyjaśnić tajemnicze wypadki.",1
"Ten widząc, że carowa domyśla się już czegoś, musiał zameldować, że policjant patrolujący słyszał w nocy strzały w pobliżu pałacu Jusupowów.",2
"Carowa przestraszyła się śmiertelnie i z trudnością zdobyła się na wydanie rozkazów ministrowi, by osobiście przeprowadził dokładne śledztwo i przesyłał jej stale sprawozdania o stanie sprawy.",2
"Aleksandra nie mogła i nie chciała dopuścić do siebie myśli, że jej jedyny przyjaciel, zbawca następcy tronu i najwierniejszy doradca cara nie żyje.",2
"Z płaczem padła na szyję Ani, która jedyna mogła zrozumieć jej ból i rozpacz, gdyż i ona straciła wszystko ze śmiercią Grzegorza.",2
"Policjant patrolujący nad Mojką usłyszał krótko po północy odgłosy strzałów rewolwerowych z podwórza pałacu Jusupowów, pospieszył na miejsce, skąd doszły strzały i spotkał przed pałacem samego księcia.",2
"Na pytanie, czy zaszedł jakiś nieszczęśliwy wypadek, książę Jusupow odpowiedział ze śmiechem, że jeden z podchmielonych gości wystrzelił kilka razy w powietrze.",1
"Policjant nie odważył się podać w wątpliwość wyjaśnień tak wysokiego pana, zasalutował służbowo i oddalił się.",1
W jakiś czas potem wezwał go ponownie Jusupow za pośrednictwem odźwiernego i kazał zaprowadzić go do prywatnego gabinetu.,1
"Tam znajdował się już pewien pan w szarym mundurze polowym, który zwrócił się do policjanta i przedstawiając się jako poseł do Dumy Puryszkiewicz, doniósł mu, że w nocy zamordowano tu w pałacu Rasputina, znanego zbrodniarza i szkodnika.",1
"Policjant przyrzekł, że będzie milczał, później jednak wykonał obowiązek służbowy i zameldował o wszystkim inspekcyjnemu kierownikowi rewiru.",1
"Książę Feliks usiłował wytłumaczyć ślady tym, że w czasie nocnej uczty jeden z gości zastrzelił psa.",1
"Protopopow donosił carowej, że w tych okolicznościach nie można mieć wątpliwości, że Jusupow i jego przyjaciele zamordowali ubiegłej nocy Rasputina.",1
"Teraz dopiero zrozumiała Aleksandra całą nikczemność skrytobójczego zamachu, teraz dopiero przekonała się o tchórzostwie morderców, którzy wciągnęli do spisku wielkiego księcia Dymitra Pawłowicza, aby zapewnić sobie bezkarność za zbrodnię.",2
"ako pierwszy zatelefonował wielki książę Dymitr i prosił o pozwolenie złożenia wizyty w Carskim Siole, carowa jednak odmówiła stanowczo.",1
" Carowa nie posiadała się wprost z oburzenia z powodu tchórzostwa ze strony księcia mordercy i przekazała natychmiast list Jusupowa nowemu ministrowi sprawiedliwości Dobrowolskiemu, by dołączono go do akt sprawy.",1
"Siostra Akilina czuwała przez całą noc u łoża zamordowanego, obmyła zwłoki i otuliła je w nowe szaty, na koniec wcisnęła do bezwładnych rąk Rasputina krucyfiks i list pożegnalny od carowej Aleksandry.",1
"Policja puściła pogłoskę, że zwłoki przetransportowano do Pokrowskoje, chcąc w ten sposób zapobiec ewentualnym zbiegowiskom.",4
